frame.time_epoch,ip.src,ip.dst,ipv6.src,ipv6.dst,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport,_ws.col.protocol
"1766041611.417724767","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.422912445","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.427891276","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.434367482","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.435657422","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.436891202","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.441655607","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.442956550","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.444510216","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.445774579","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.447686144","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.448942428","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.451578520","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.461942710","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.463171130","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.464447154","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.465757977","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.466996414","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.468162578","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.469468099","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.470703127","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.471937139","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.473323782","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.474609604","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.476037379","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.477562452","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.478893992","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.480435231","192.168.1.2","224.0.0.251",,,,,"5353","5353","MDNS"
"1766041611.481908947",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.483545885",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.485011096",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.486935387",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.488592152",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.490345226",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.491811946",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.493347630",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.495070522",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.496611842",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.498304253",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.499908860",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
"1766041611.501678319",,,"fe80::8a6a:e3ff:feae:4d0b","ff02::fb",,,"5353","5353","MDNS"
